text,topic,sentiment
HHS was informed of 2 COVID-19 positive staff members today.  It is imperative that everyone continue to monitor daily for signs/symptoms of COVID and to stay home if experiencing any of those signs/symptoms. https://t.co/4rI3RsL1ZF,cs,n
I wonder how many people hide intentional suicide from friends and family by taking covid boosters,v,n
"JUST IN: Biden Regime Quietly Tells Federal Agencies to Suspend Enforcement of Vaccine Mandate For Federal Workers Until After Holidays While Publicly Pressuring ""The World"" To Take Experimental Jab https://t.co/AmQJIBVYIP",m,n
"with all these talks of new covid variants and moderna stocks skyrocketing, you really should invest in ligma before it takes off.",ac,/
"When COVID-19 hit, registered nurse Kellie Wunsch volunteered to be on the rapid response team that was dispatched when patients became critically unstable. See her fight for her patients lives and dignity in #TheFirstWave, now playing in theaters.
🎟: https://t.co/quC5P0uUuc https://t.co/4269S8tJE6",ac,p
They have all gone crazy - the vaccine is not working BUT we have a default system Mother Nature gave us - we need to trust  her - the problem is these scientists and politicians will never admit they got it wrong https://t.co/Sf2gMB64Ir,v,n
OH NO I HOPE JOE BURROW DOESNT HAVE COVID WTF https://t.co/wIc5gqJvDq,cs,n
"New variant to be blamed for heart symptoms occurring due to jabs
https://t.co/D8Mhd48sya",v,n
"Sex Discrimination Commissioner Kate Jenkins’ review of the culture in parliamentary workplaces will be released publicly today, the Coalition’s party room meeting was told this morning. https://t.co/dzram5BPBt",m,n
Must WATCH Video: Neil Oliver's Criticism of COVID Protocols Is Absolute Poetry https://t.co/tU2vjpc8Bc,m,n
"Spain detects first Omicron case, COVID-19 infections rise https://t.co/HX04cOiUeF",cs,n
"This entire time I've felt like I'm observing the pandemic from another planet.
I never seek news about the virus but when I overhear about a new variant or vaxx/hospital statistics I think ""Damn that's crazy. Anyway""",ac,n
Covid Qld: State border plans remain on track for reopening despite Omicron threat https://t.co/yIY65iK6Wl via @couriermail,m,/
".
When asked why the opposition weren’t consulted on the pandemic Bill, Premier @DanielAndrewsMP says: “the opposition are far too busy standing out the front of the building with extremists.”
.
#springst
#DictatorDan
#FreeAustralia
#AustralianHasFallen
.
 https://t.co/f40MyrYqe5 https://t.co/vpNPyGcLos",m,n
"I have had more phone calls to my business of clients with Covid. All ages...a mix of vaxxed and unvaxxed.
Tell me again - how do vaccines and masks prevent Covid?",v,n
"Vaccine pass' being programmed into phones, will be able to register user's status https://t.co/G4MAvYLtjd",v,/
"ANOTHER covid exposure at childcare. ""no need to quarantine if had it in the past 3 months"" apparently doesn't apply to childcare, and there's no test-to-stay option. Third exposure in just over 3 months. THIS IS NOT SUSTAINABLE. https://t.co/lL8mmW9gVK",m,n
"""We are urging more Ontarians to please come forward and be vaccinated...there are some reports suggesting that the currently existing vaccines may be less effective against it.""

Get vaccinated even though the current vaccine might not work. @chrisfoxnews
https://t.co/iP5SbC2xag",v,n
I got covid.,cs,n
Rep. Ronny Jackson says COVID variant is a hoax created by the Democrats to create new ballot rules https://t.co/yjGZIMaQiZ via @Yahoo,ac,n
Could Omicron be GOOD news? Variant 'might speed up end of pandemic if it causes mild illness' | Daily Mail Online https://t.co/QkSR0hui6f,ac,p
"WATCH OUT FOR ONLINE VOTING EXPANSION:? Here we go again! Democrats are getting ready to rig &amp; to cheat the election! They’re not letting a good covid crisis go to waste.

@SteveSebelius @rgj
@SarahAshtonLV #RJNow @lasvegassun @jjauthor @blakeapgar @meganmesserly @reviewjournal https://t.co/OcJPziKCs5",m,n
I met a lady that got covid 4 times in one yr. Masks didn’t make a difference lol. JS.,m,n
Wtf covid cult. https://t.co/XnjAfHQfoQ @RebelRancher @SteakAndLove @FWPlayboy @SharpShooterAO @mistergoodgod,ac,n
"The Omicron Variant came from South Africa, their vaccination rate is pretty low...",v,p
"This is funny and so true!!

#COVID19 #Variant #Omricon #vaccine  #Canada #America #Lockdown #CNN #FoxNews #waroncovid #NoMoreLockdowns https://t.co/NshDULUxb1",m,n
"Great Barrington; ""#Omicron will end the pandemic sooner""...

The fight against GBD, plaforms is exhausting...

Don't forget oldschool hegemonic closed cooptive biomeds, specialising in n=1, not knowing anything of n&gt;&gt;&gt;1 i.e a pandemic.
⬇️ https://t.co/gKLFxl00GG",v,n
"At least covid consistent, some of y’all can’t relate",ac,p
It’s something fishy about the FDA force feeding this vaccine and boosters but also saying they need 55 years before they can release all their data related to the vaccine and boosters by FOIA requests.,m,n
"Vaccine uptake by 🇺🇸 state for 5-11’s (November 28): - one shot

1 - Massachusetts 31.9%
2 - Maine 27.7%
3 - Virginia 24.6%

48 - Alabama 3.5%
49 - West Virginia 3.4%
50 - Mississippi 2.9%",v,/
"What the fuck do you mean “omicron will end the pandemic sooner”?? Where is the logic, the common sense, the SCIENTIFIC FACT???",cs,n
so alarmed with the new covid variant: omicron. GET VACCINATED AND WEAR MASK PEOPLE.,v,p
Labor shortages are just one of the ways the pandemic is fundamentally reshaping the U.S. workforce. Here's Wealth Management Chief Investment Officer Lisa Shalett’s perspective on what it could mean for investors. https://t.co/7rC6qCAYW1,s,n
CDC says everyone 18 and older should get Covid-19 booster due to Omicron variant https://t.co/MrPKNMless via @WSJ,v,p
"1,103 new Covid-19 cases; ICU utilisation rate falls to 51.2% https://t.co/9mknwCvuTx",cs,p
"Is it possible to determine whether there have been any spikes in COVID infections that can be traced to the Domain events, Groundswell, or any other protest events?",cs,/
Canada has thrown away more than one million vaccine doses yet the eligibility for a booster is still quite strict. Humans should be able to get boosters before garbage receptacles are able to get any number of shots.,m,n
"Sup,yall! Playing with my human is a ideal activity of staying sane in order to get through level 4 lockdown, Mum once told me a story:  Jodie, who is a  doctor, he  saved people's lives in the pandemic, and he  saved people's lives in the pandemic",ac,p
Ya know how frustrated hair people get when people use box dye at home.. now imagine health care workers who just want you to get a vaccine so people don’t literally die. 🤷🏽‍♀️,v,p
"Shade War: White House Video Feed Crops Kamala Harris Out of Biden Covid Variant Speech, Features Fauci Instead https://t.co/9Ejm3wEK3A via @gatewaypundit",m,/
"Super fun game: Would you rather …

… solo parent while your spouse isolates during the week leading up to grad school finals

Or

… the whole family gets Covid and gets to be together but can’t go anywhere for 2 weeks",ac,/
"Unfair dismissal!

NHS nurse, 46, who called Covid a 'scamdemic'  is sacked from her job https://t.co/k0xUyPEa2U via @MailOnline",m,n
GOT MY MODERNA SHOT APPOINTMENT. YEAH. lol 😷🤣 https://t.co/8xTJjc9z7h,v,p
Voluntary vaccine digital verification allows for the immunized to gain entry into a variety of places that may make proof of vaccination a requirement. There is no reason for the delay. New York State has used the system for months. Why is Massachusetts behind?,v,p
"Was feeling kind of rough today. Sore, tired, runny nose. Did a COVID-19 test. Thankfully it's negative so I'm probably just exhausted from the past few weeks.

TY @CueHealth for making this possible from home.♥️

I'm 3x💉 Pfizer and I wear a mask.
Please get the 💉 or a booster! https://t.co/mhTHo0pbrA",v,p
Is your life anything like it was two years ago? — There was this uhhh pandemic thing happened. You hear about it? https://t.co/9dvH7fR9yr,ac,/
"Definitely sounds just like some of the many ill scary symptoms or aftereffects and physical reactions, I should say, I had from the vaccine! https://t.co/YYbv9y0zlk",v,/
"""He basically said to me, ‘I’ve got an immune system, have you never heard of one of those?’” His condition worsened, and he was taken to hospital...two days later he died on the ward.""

😢😢😢

Covid kills. Get vaccinated.

https://t.co/vPmmh8r991",v,p
I just published How Concerned Should We Be About the Omicron Variant? https://t.co/K7RuR7le3Z Here's what we know about it so far. #Health #COVID19 #pandemic,cs,n
He deserved this trophy since 2020 fuck pandemic esus,ac,n
"DeSantis: Florida Top Draw for COVID-Weary Vacationers, Topping Pre-Pandemic Levels https://t.co/wijMHCScOg  #JustPlainPolitics",v,/
Brits scramble to book booster Covid vaccines – but are turned away by NHS site https://t.co/uzVCRY399S,m,n
Pfizer expected to seek FDA authorization for boosters for those ages 16 and 17 - Nov 29 @ 6:53 PM ET https://t.co/GzxS3NGS8F,v,p
Boris Johnson BREAKING NEWS https://t.co/kdX8YkYtYm  #lockdown #covid19 #covid19UK  #voteofnoconfidence #StayTheFHome #covid #Covid19 #coronavirus #Covid_19 1,m,/
"Moderna, Carnival, Zoom and more https://t.co/Hk4Vt3ooEK",ac,/
Hahahaha. Bash and Barb could use an Ear Band and so could you!  #ear #mask #covid #COVID19 #maskear #Corona https://t.co/8ZjY9eiFH9,ac,/
"I was finally able to get my kid an appt. to get her Covid vaccine. Drove in rush hour to @Walmart in Eden Prairie,MN only to be told they didn’t have the kid’s vaccine. Well, how was I able to get an appointment?? That’s what I get for entrusting Walmart with my kid’s health.",v,p
"31,014 Deaths 2,890,600 Injuries Following COVID Shots in European Database of Adverse Reactions as Young, Previously Healthy People Continue to Die/ By Brian Shilhavy - Mark Taliano - https://t.co/hqCSektoW9",v,n
"Today's Sinocism - Covid; Fall of Macau junket king; China-Africa; Smarter municipal social governance, by @niubi https://t.co/s1scCq5Yqz",ac,/
"A bad day for a great team. Covid has found our Lady Eagles. Due to this, our Dec 1 game against Evangel has been cancelled. The Heart of America Athletic Conference has a rule this year that any cancellation is an automatic forfeit. Don’t agree with it, but out of our hands.",ac,n
"Why did they have to name the new covid variant something so cool, like damn I kinda want the omnicron now.",ac,p
"""What will happen next, given waning vaccine immunity?""

A great clip from the Darkhorse podcast with Bret Weinstein, PhD &amp; Heather Heying, PhD
👉7 min: https://t.co/tO8w990Sc8 https://t.co/slJXTFpCHe",v,/
My coworker was telling me how her kid hasn't seen her dad in 3 years because of covid and I had to fight so hard to stop myself from sympathy weeping 😅😭,ac,n
"Just stop for a second and think.
It's nearly two years since ""2 weeks to flatten the curve"" and they're now dictating your panto to playdate ratio for the week.
This insidious invasion of all our lives is getting worse, not better.
https://t.co/mPUvkocvZF https://t.co/ltMhwre7uQ",m,n
pre pandemic vs now https://t.co/xXEJIAsMKP,s,/
"The @GOP are just plain silly.  Political theatre and bad acting.
https://t.co/cVbYgVgYZS",m,n
"And they have moved the covid vaccine program mostly out of the NHS, which is why it ran into the buffers. Would have cost £000s less if resources put in general practice- where all other vaccination is done https://t.co/836nd0C3X0",m,n
Los Angeles Begins Enforcing Indoor Covid Vaccine Mandate – Deadline https://t.co/2R9v8TFhGk,m,/
Got my Moderna booster two days ago! Not even fatigue this time around and only a little tenderness at the injection site! I’m so happy to get this!,v,p
First cases of Omicron COVID-19 variant detected in Canada: What we know https://t.co/pbS5BQYhtQ via @CTVNews,cs,n
#clouds look even better after 2 weeks of covid https://t.co/lTrjSpF8iX,ac,p
Some Hospitals Prepare to Lose Staff Over Covid-19 Vaccination Mandate https://t.co/sw6TsFcvwR,s,n
"CDC expands COVID-19 booster recommendations
https://t.co/KR2L3xBeLd",v,p
"anyone in the Boston, MA area have tips for booking a Pfizer booster shot? having the worst time finding availability",v,p
I'm pleased to announce the opening of my new covid fashion store Omicronlie and Fitch.,ac,/
"Funny - the scare/fear tactic that's been played is Omicron eludes current vaccine spike protein...

So why the F would you get vaccinated with something that you're telling people doesn't work?

Because he's a lying piece of garbage https://t.co/GJUIUpgT4o",v,n
https://t.co/FlND50sNK3 This is smart both soft power wise and in terms of stopping variants. More super powers need to do this Asap.,cs,/
Update:  Potential exposures to COVID-19 at locations in Northern and Eastern Zones and on four flights. https://t.co/rLNdaqeO7z,cs,n
NYTimes https://t.co/kBf9YHxHvI,v,p
Not covid ruining my 18th year and my 20th as well.,ac,n
"""The situation was normalised after over 100 police personnel arrived at the hospital and managed to disperse the mob.""

""The two doctors had to escape in a bid to save themselves.""
https://t.co/wfdzWw4lXM",ac,n
The Steeler just placed OLB TJ Watt on the COVID-19 list.,cs,n
The #COVID-19 pandemic created unprecedented challenges. Read and share this customer story on ID Logistics' migration to #IBM #PowerSystems Virtual Server and how it frees teams to help customers when they need the support most. https://t.co/JW0kmlh7VK,s,n
"The injuries across the NFL and fantasy football especially have been brutal

It also appears more players have been added to the Covid-19/Reserve list as of late

Rock solid depth on your fantasy football rosters is that much more crucial as playoffs near",cs,n
"Vaccine update:
So, Corona virus is a bio-weapon created in a Chinese lab.
Also,  Corona virus is a hoax.

So, DJT is a hero, single-handedly creating the Corona virus vaccine to save us.
Also, the Corona virus vaccine kills more people than it saves. https://t.co/cMz9MYsr56",v,n
"The country will bar entry to foreigners starting Tuesday at midnight, and Japanese citizens will have to quarantine in a designated location.

""These are temporary, exceptional measures...""

https://t.co/yus2DZ7rTC",m,/
ILAE has been invited to attend the Special Session of the World Health Assembly taking place 29 Nov – 1 Dec 2021 focusing on COVID-19 only.  ILAE’s full statement - https://t.co/skwa2AH4dH.  Watch live - https://t.co/uI8yRMH76y. @WHO #epilepsyawareness #advocate4epilepsy https://t.co/YyCewLnkfl,ac,/
"He said in his letter before jumping through a 15 story window, the Covid vaccines are genocide &amp;  are crimes against humanity! https://t.co/M2TlKcvwOK",v,n
Growth in 7D US Confirmed Covid Cases by County For WV   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/hEvNpURgtY,cs,n
BTS really made selling out 200k stadium tours with only 4 dates  look easy but even not many mainstream artists play stadium in the first place and we're still in the middle of a pandemic too. Maybe that's why this is particularly a huge news I guess,s,n
"I really love Sam’s recipes, got me through the boredom of cooking during the pandemic! Check out his YouTube videos!  https://t.co/H4L47ZAbiQ",ac,/
Omicron emergence helps Victorian government secure support for pandemic bill https://t.co/46bTkCAZGG,cs,p
"Top Scientist Blasts Fauci As A ‘Serial Liar,’ Slams Ex-Biden Pandemic Adviser As An ‘Empty Head,’ ‘Dolt’ https://t.co/Mo8INwhqSL",m,n
JUST made it to my 6th month since my 2nd dose of the vaccine &amp; I’m ready to schedule my booster. https://t.co/87Gef4d8W7,v,p
Teenagers+ppl around 20 that are my age are getting covid the most rn but they don’t shut down schools where it then spreads the most easily and mutates even when you’re vaccinated but instead things like restaurants and hairdressers MAKE IT MAKE SENSE?? https://t.co/s73wR3gvGy,m,n
"20 hospitals also suspended outpatient and emergency medical services for three days, after the three locally-transmitted COVID cases emerged in Shanghai.

https://t.co/GKkoVEkaJ3",cs,n
"All city employees of Langley will soon need to follow a new vaccination rule that has been set in response to the pandemic.
 https://t.co/jVETOcFwbN",m,/
"While it will take a little while for us to fully understand the Omicron variant, what we do know now is that vaccines are safe, widely available, and necessary to ending this pandemic.
https://t.co/w9YvylzrT0",v,p
"Am I tired because:

A. Covid booster
B. Burnout from school/clients
C. Depression
D. Anxiety
E. All of the above",ac,n
"""Hospitalized with Covid"" is not what you think.   You go to the hospital for a bad knee.   They do a PCR test.   Even asymptomatic false positive.   Not why you are there at all.   Be careful with the reports you hear.",ac,n
The Texas Rangers just spend about a HALF BILLION 💰 on 2 players. Will a middle infield upgrade give sales and local 📺 ratings a boost? Last season they played to 65% capacity crowds at Globe Life Field despite new stadium (covid obviously didn’t help). https://t.co/ycuW5urzau,cs,/
Clearly this strain is in Nigeria already meanwhile they are living life in Nigerian as if Covid didn’t exist. https://t.co/kStzlk56cz,s,p
Although now children starting from the age of 5 can get their vaccine many parents hesitate on doing so which is a problem because many public institutions are requiring vaccinations #J61B https://t.co/4GQaMaqqxB,v,p
Yes I would. My reason holds true for Omicrom as it did for COVID-19. I want to protect my family and others whom I come in contact with. https://t.co/DMzWOc5Lxe,v,p
"Be current.... and also check @H_S_E fuidance on how to safely perform a face fit test during the pandemic.

https://t.co/9MM3HVhezP",v,p
"Singapore tracking Omicron Covid-19 variant closely, may be forced to take steps back: PM Lee https://t.co/VpNTUvxkkA",cs,n
"I'm so sick of covid. I just want life to go back to normal.

#normallife #missthis",ac,n
"Commentary: Why normally decisive parents worry about vaccinating young children against COVID-19

 https://t.co/sNDkVA0MWT",s,p
Judge Blocks Biden Administration’s COVID-19 Vaccine Mandate for Health Care Workers https://t.co/MI3Yi1GKm6,m,/
I don’t want to get too political but covid sucks,ac,n
Omicron: What we know about the new Covid variant — RT World News https://t.co/mhnbxULzft,cs,/
"Dr. Scott Atlas says Fauci, government bureaucrats 'threatened' by other input on pandemic science https://t.co/sIrbpqzDS6",s,n
Where Did That IMF Covid Money Go? https://t.co/CwxWvIwNHX,s,n
"So Gauteng province has more people than LA County (12 vs. 10 million) and about the same number of ppl hospitalized with Covid (580 vs. 575), and a lot fewer vaxed.",cs,/
"COVID-19 variants are strong, but California is stronger when we #GetVaccinated. The more vaccinated Californians there are, the safer we’ll all be from COVID-19 and its variants. #VaccinesSaveLives - They are safe, effective, and free for ages 12+. https://t.co/MKJFYmPZvY",v,p
The sigma phi alpha Covid-19 variant,cs,/
that shit little la concert had no security at all &amp; anyone could just walk in even with no ticket and spreading covid like crazy but sure y'all would rather worry about blackpink 👍🏼,s,n
Many doctors have long Covid themselves 😱 https://t.co/bTow5neE6u,s,n
Steelers put TJ Watt on reserve / COVID list https://t.co/UaIhy9MhQV,s,n
"Is this you! Well GREAT NEWS @portagecollge (LLB campus) weight room opens Nov 30th @ 11 am. Check the website for Dec. Hours https://t.co/G1DSYmV4xn FREE 4 Students with ID, Proof of Vaccine &amp; a signed waiver. (Free for Staff Until Dec 17th) Memberships available in the New Year https://t.co/apJPwkVLOr",s,p
Heritage Foundation sues Biden admin over vaccine mandate https://t.co/WaA1P2h8jK #FoxNews,v,n
The new mutated India virus running wild in Alberta and Canada. Daily covid positive numbers 40% of fully vaccinated people and that will move too 80% by Christmas. Jan 15 Alberta will see tip of 5th covid wave same across Canada. Prepare yourselves for another LONG COVID WINTER https://t.co/j2cTlDP3o1,cs,n
NSW has recorded 179 new COVID-19 cases and three more deaths.,cs,n
Covid-19 variant that emerged in South Africa was named after the 15th letter of the Greek alphabet. https://t.co/VBCDKZ2iNb,cs,n
"Idk who needs to hear this, but...
The vaccine is not a cure, but a preventative measure. It is but one of many things that you can do to keep yourself and others safe, and is most certainly not the be-all-end-all for the pandemic.
So even if you are vaxxed, still be cautious.",v,n
"Getting first Pfizer shot in about 10 mins

Australia has made it nearly impossible to live if you are unvaccinated",v,n
"1/2 Situations playing out in some small Pacific nations is evident of their disenchantment with globalism &amp; authoritarian pandemic responses.
New Caledonia is hurriedly seeking independence from France, there is a Referendum on 12 Dec.",s,n
The water has Covid..  nor sure how are going to put that into lockdown.. https://t.co/bsYsWtSheg,s,n
"Not being against COVID-19 in many places across the globe means you can no longer be employed.

People who aren’t vaccinated must be losing a fair bit of income.

I guess that means being unvaccinated is woke. Because, you know, “go woke, go broke”.",s,n
"My 7 year old got her 2nd Covid shot today, bringing our household total up to 100%! How about you?",v,p
"GO back a decade to see Sky News not lying about a phony pandemic.
(Related: https://t.co/sDwpWIbmQC) https://t.co/HCgoCTrWy3",s,n
Vaccine injuries in Parma. Not the biggest of cities yet there seems to be rather a large portion of vax deaths an injuries. Should you be discussing this yet @KayBurley @skynews @talkradio @JuliaHB1 @iromg @cnn @BBCNews @Channel4News https://t.co/KajsZ8CdVw,cs,n
"Dem crisis deh cyaan be twin covid a toddler, Crime is a big grey tone adult who need fi liff up https://t.co/k1T5MTNBX7",ac,n
Judge Strikes Down Joe Biden’s Vaccine Mandate for Healthcare Workers Hallelujah hallelujah https://t.co/yF0CNR3AQI,v,n
Accusing dems of wanting Covid to continue is always projection. https://t.co/NYwojYik3s,ac,n
"He’s not the only one…..

Biden faces uncertain threat with Omicron variant https://t.co/kALXOCVw8q",ac,n
U.S. CDC says all adults should get COVID-19 booster shots #SmartNews  https://t.co/s1mk8Zkx5n,m,/
"This is the point. There's no lockdown or mask/vaccine mandate for flu, neither do the hospitals test the dead for flu and category patients who died with flu as died of flu. https://t.co/YUgnzzRCKY",ac,n
"Watch ""Republicans pull disgusting stunt over new COVID variant | No Lie podcast"" on YouTube https://t.co/vi6hFEbqMB",ac,n
Great project Vaccine Coin. This is an innovative creation by Vaccine Coin team. I like this project very much. I am sure for the success of this project.#VAX #VaccineCoin #BEP20 #BSC,v,p
"In brushback to Biden, federal judge blocks vaccine mandate in Medicare, Medicaid facilities https://t.co/rLwpExSMxQ via @JustTheNews",v,/
#Omicron is being used by  government to hype the vaccine and booster rollout. Making us wear masks because they want to back track on that.  According to the scientists who found the variants it’s effect is extremely mild not like Delta.,cs,p
"Stop the LIES! Expose the nefarious effects! @PinonPost  @NMPatriot_45
https://t.co/nQGgdS68hw https://t.co/7Icbmt9ooY",ac,n
"Covid is back, and striking younger. 20 year-old unvaccinated with necrotizing Covid pneumonia https://t.co/r35BHw3atS",cs,n
"""You'd be selling these things every year... not that you'd wanna do that, i sure you're not hoping for that, it would be almost like an annuity for Pfizer.""  🤣 https://t.co/7FBX2Xwakp",v,n
"The Omicron Covid variant is no excuse for new lockdowns or vaccine mandates, as New York Gov. Kathy Hochul’s damage to hospitals shows. https://t.co/0tllwAOBrA",s,n
What if our “team of 5million” put the same effort into literally any other health issue. “Got your vaccine against obesity yet?” 2 jabs for a small waist,ac,n
"With COVID-19 related lockdowns and restrictions, take a look at how web traffic was affected this #BlackFriday. @Akamai #webperf https://t.co/3YKQAOSIP4 https://t.co/Z7ikR5huW9",s,n
TV Writers Stop Feeling Like You Have to Mention COVID challenge,s,n
BREAKING: PFIZER MARKETING ARM SUGGESTS THEIR VACCINES WILL SOLVE THE CURRENT PROBLEM UNTIL THEY DON’T. https://t.co/gYZIgEPNW1,v,p
"Aaj Ka Panchang, November 30, 2021: Check Out Tithi, Shubh Muhurat, Rahu Kaal and Other Details for Ekadashi Vrat - Coronavirus Updates https://t.co/aNjEeznqLr corona live tracker, corona outbreak, coronavirus, coronavirus updates, covid-19, covid-19 tracker, covid19 outbreak, … https://t.co/pSGXXB1yts",cs,/
Getting ready for the 2nd day off Bayanihan Bakunahan.... See u in UCLM Vaccination Site!!! https://t.co/GCALZvfdqg,v,p
"Wedding day on the ""90 Day Fiance"" finale, a drunk driver swallows his keys and a lady microwaves and burns her money over Covid-19 concerns. #WCCB #rising @DerekJamesTV  https://t.co/xqWE9EQJUt https://t.co/A7nySq5fp0",s,n
The Comelec plans to hold 34 mock elections by the end of December to test its COVID-19 protocols for the 2022 elections. https://t.co/NrIQhMRc2X,s,/
"PAC&amp;Clim explains that the air-to-water #heatpump was negatively affected by the #pandemic in 2020, particularly during #lockdowns. The #market has bounced back in 2021, with impressive 65% growth registered during the period spanning January to August.

https://t.co/DBDWsf8zCb https://t.co/n5GjlkjXx1",s,n
"When you can't convince them with COVID throw a scarier name at them, Omicron variant
The only variant is that those who are NOT vax/masked are healthy mentally and physically-the rest are graphene oxidized AI https://t.co/hXa49wY4Ox",cs,n
"New Twitter CEO Steps From Behind The Scenes To High Profile - Coronavirus Updates https://t.co/Iryj4e9L7G corona live tracker, corona outbreak, coronavirus, coronavirus updates, covid-19, covid-19 tracker, covid19 outbreak, latest news, Top India News- https://t.co/1Oq2sbFV9K https://t.co/R0duCupntG",s,p
That's because COVID was a beta test for the real thing https://t.co/tacyNc9WPG,ac,p
Why does the government care about Christmas so much?!?!Sajid Javid refuses to rule out return to lockdown in response to Omicron variant of Covid | The Independent https://t.co/5k7ylVpgxi,s,n
"If anyone tells you that this is a pandemic of the Unvaccinated, there is no hope for these fools.. https://t.co/39KR455ZNP",v,n
"Pfizer is lobbying to thwart #whistleblowers from exposing corporate #fraud https://t.co/oxwM9vk7fG by @lhfang
#whistleblower #retaliation",v,n
The fact that either the restaurant or my Uber driver put my straw in my drink is wild to me @UberEats we are in a whole ass pandemic let alone I don’t know anyones cleanliness habits. Of course they didn’t take a picture,s,n
"In studio today talking about the Texas Governor’s race. Also, thoughts when it comes to COVID-19. https://t.co/j8e1seLONj",s,/
"Join us this Friday for our virtual conference, as we hear from Dr. Charles G. Allen and Chris Shimer on ""The Psychology of Vaccination Resistance: Autonomy, Public Health, and Medical Ethics."" Registration is still open for Friday's event! CEs available: https://t.co/LcgiYfEsal",v,n
Told y’all we should have chosen champions and decide the vaccine thing by mortal combat but you lot never listen to reason 😔,v,n
"Vaccine, the most searched word on the MIG Webster DictionIG this year https://t.co/1Cj3ljH88Q",v,/
China's Xi pledges another 1 bln COVID-19 vaccine doses for Africa https://t.co/SFGwLUtTc0,v,p
"why the fuck has the world decided to make 2 new covid variants, have bts concerts going on, snow in the uk and make me sad and sick at the same time. not fair",ac,n
It was a great turnout at today's Holland-Chatsworth Central School COVID testing clinic! Grey Bruce EMS will even come to families if they can’t make it! HCCS families can text the school phone to inquire at 519-385-0925. https://t.co/LK1mnF3D6K,s,p
Toronto organizes mass COVID-19 vaccination clinic for children at Scotiabank Arena https://t.co/CW00naXkDV https://t.co/6pKVpf3pyU,s,p
Iceland supermarket boss says his staff WON'T force shoppers to wear masks https://t.co/lJRulugs7U,s,/
This pandemic got people acting awkward 😭,ac,n
The Covid rates are exploding in NY and NJ. #DeathHochul  #DeathMurphy,cs,n
"Biden Threatens Lockdown Unless People Get Vaccine Amid Omicron Variant, Media Starts Fearmongering https://t.co/MMdrnSVWvI",m,n
"Says the party who has been vaccinated and does everything to make sure Americans don’t get the vaccine and die.

The GOP-American Terrorists. https://t.co/LCvH69fxpY",v,p
hopefully covid will die down soon enough cus i cannot stand assisting online classes. still end up yawning for every 5 mins even tho i slept early last night,s,n
"If we just have to live with it, why are they forcing restrictions on us?

Just get back to living.

#DoNotComply

https://t.co/zw8O2j24xi",s,n
WCS is out tonight with non COVID related Illness,s,/
Enforcement begins today for L.A.’s COVID-19 vaccine requirements https://t.co/TKx6AELs1f,m,/
"What say you America to Biden's new tyrannical plan to fine businesses $700,000 for non compliance with his  illegal vax mandate?
https://t.co/Cen7CIFILI",m,/
"$XBI Covid is a hoax
My 100 puts will print big tomorrow ⭐",s,p
Judge Blocks Biden Administration’s COVID-19 Vaccine Mandate for Health Care Workers https://t.co/7ButpRjUxW,m,/
"Huntington Beach City School District COVID Case Count as of: 15:55 on 11-29-2021

Total Active Cases: 1

Source: https://t.co/MV8nskVI5i",cs,/
"Good one @missyspr ... And to apply your letter re-arrangement in this post about covid/vax ... Lets rearrange the letters of the word ""this"" and put it with the word bull ! https://t.co/KfUmE7x66X",ac,n
"More than 775,000 people in the United States have died from COVID-19.

Left behind are tens of thousands of children — some orphaned entirely — after the parent or grandparent who cared for them died.

@SarahVarney4 reports. https://t.co/KS5DIvofpZ https://t.co/paw8JzszHD",s,n
"If you have survived the pandemic thus far, you can thank #SocializedMedicine.",s,p
"Wealthy Countries Are to Blame for the Omicron Variant’s Spread

 https://t.co/FM8PxWcNZH Follow @newrepublic",ac,n
I’ll start worrying when a Covid variant is named Thanos. #avengers,ac,n
"Republican Dismisses Vaccine on Fox News, Praises It on CNN in Breathtaking Flip Flop https://t.co/DpDNiEHPlg via @YahooEnt",s,/
This is a Covid lung #MAGA @SenateGOP @GOP from a double lung transplant https://t.co/gCeTJ0CcU2,cs,/
"Literally everything you need to know about SARS Coronavirus2
CAUTION! 🚨🚨🚨
They speak the truth. Some of it is quite disturbing. Some is very uplifting.
https://t.co/nl1MQsbV5k",ac,/
one of the fun parts of the COVID panic as a disabled person is seeing a bunch of abled people losing their godsdamned minds from living what's been my daily reality for years :))),ac,n
"3rd dose of Pfizer, let’s do this",v,p
2 for 1 today. Got boosted and got flu vaccine....,v,p
Vaccine wey you take for shiashie like Lapaz troski so? https://t.co/1pCEXcSK1z,v,/
"Vicki Gunvalson Reveals Brandi Glanville Told Her to ""Shut the F-ck Up"" on RHUGT Season 2 and Discusses Feud, Confirms She Had COVID Before Filming, and Talks Dating After Steve Split #RHUGT #RHOC #VickiGunvalson #BrandiGlanville https://t.co/PBxpgKo9ap",ac,n
"pfizer needs more of him , any jab just punch it in ,colds ,flu , measles , bad breath , hic cups got one for syphilis i'm out on the town tonight . https://t.co/c0GnDSRIbl",v,/
$CVAC big watch ! Vaccine play 👊,v,p
"Now Republicans want us to believe that Omicron Covid is some sort of made up variant and that will help the Dems in the midterm elections?
REALLY? Someone explain that bit of insanity to me. https://t.co/GNuG9lJl9E",ac,n
